date,value
2006/1/4/9.5,9102.865
2006/1/4/10.0,9115.16167
2006/1/4/10.5,9092.605
2006/1/4/11.0,9065.49667
2006/1/4/11.5,8938.875
2006/1/4/12.0,8949.79
2006/1/4/12.5,9016.86833
2006/1/4/13.0,8940.05667
2006/1/4/13.5,8884.26667
2006/1/4/14.0,8863.56167
2006/1/4/14.5,8838.27167
2006/1/4/15.0,8890.97333
2006/1/4/15.5,8917.07667
2006/1/4/16.0,8864.67667
2006/1/4/16.5,8871.46167
2006/1/4/17.0,8787.24833
2006/1/4/17.5,8569.93833
2006/1/4/18.0,8497.72167
2006/1/4/18.5,8284.92167
2006/1/4/19.0,8122.15333
2006/1/4/19.5,8243.82333
2006/1/4/20.0,8328.74
2006/1/4/20.5,8165.08667
2006/1/4/21.0,7936.01667
2006/1/4/21.5,8035.38333
2006/1/4/22.0,7928.495
2006/1/4/22.5,7931.40167
2006/1/4/23.0,7812.46667
2006/1/4/23.5,7629.6
2006/1/5/0.0,7467.54167
2006/1/5/0.5,7270.78833
2006/1/5/1.0,7066.65333
2006/1/5/1.5,6712.65667
2006/1/5/2.0,6408.31
2006/1/5/2.5,6189.755
2006/1/5/3.0,6086.95833
2006/1/5/3.5,6062.905
2006/1/5/4.0,6095.85667
2006/1/5/4.5,6240.735
2006/1/5/5.0,6446.30333
2006/1/5/5.5,6835.52333
2006/1/5/6.0,7209.67833
2006/1/5/6.5,7556.89833
2006/1/5/7.0,7944.99667
2006/1/5/7.5,8279.40167
2006/1/5/8.0,8449.71667
2006/1/5/8.5,8836.89667
2006/1/5/9.0,9030.35333
2006/1/5/9.5,9089.92667
2006/1/5/10.0,9145.73833
2006/1/5/10.5,9141.73833
2006/1/5/11.0,9103.31333
2006/1/5/11.5,9081.44
2006/1/5/12.0,9034.89667
2006/1/5/12.5,9059.28333
2006/1/5/13.0,9018.345
2006/1/5/13.5,8929.175
2006/1/5/14.0,8952.62167
2006/1/5/14.5,8909.26833
2006/1/5/15.0,8913.96
2006/1/5/15.5,8908.565
2006/1/5/16.0,8983.31167
2006/1/5/16.5,9001.805
2006/1/5/17.0,9044.885
2006/1/5/17.5,8876.29833
2006/1/5/18.0,8771.89167
2006/1/5/18.5,8593.185
2006/1/5/19.0,8478.74
2006/1/5/19.5,8480.69333
2006/1/5/20.0,8542.62333
2006/1/5/20.5,8241.53833
2006/1/5/21.0,8009.84333
2006/1/5/21.5,8074.20167
2006/1/5/22.0,7824.55833
2006/1/5/22.5,7955.73833
2006/1/5/23.0,7842.08167
2006/1/5/23.5,7728.87333
2006/1/6/0.0,7536.12333
2006/1/6/0.5,7351.495
2006/1/6/1.0,7075.27167
2006/1/6/1.5,6745.605
2006/1/6/2.0,6373.425
2006/1/6/2.5,6193.19333
2006/1/6/3.0,6100.96833
2006/1/6/3.5,6103.505
2006/1/6/4.0,6135.67
2006/1/6/4.5,6273.98667
2006/1/6/5.0,6468.90667
2006/1/6/5.5,6869.505
2006/1/6/6.0,7231.08167
2006/1/6/6.5,7570.15667
2006/1/6/7.0,7925.63667
2006/1/6/7.5,8362.99667
2006/1/6/8.0,8703.20833
2006/1/6/8.5,9049.52
2006/1/6/9.0,9208.065
2006/1/6/9.5,9353.45167
2006/1/6/10.0,9393.59667
2006/1/6/10.5,9349.065
2006/1/6/11.0,9449.09667
2006/1/6/11.5,9434.12167
2006/1/6/12.0,9479.70667
2006/1/6/12.5,9507.17167
2006/1/6/13.0,9518.45833
2006/1/6/13.5,9541.34833
2006/1/6/14.0,9589.825
2006/1/6/14.5,9611.14
2006/1/6/15.0,9612.58667
2006/1/6/15.5,9673.71
2006/1/6/16.0,9618.33
2006/1/6/16.5,9555.03
2006/1/6/17.0,9404.53667
2006/1/6/17.5,9104.795
2006/1/6/18.0,8928.02667
2006/1/6/18.5,8689.27
2006/1/6/19.0,8530.55333
2006/1/6/19.5,8474.36333
2006/1/6/20.0,8452.73833
2006/1/6/20.5,8276.66167
2006/1/6/21.0,8018.165
2006/1/6/21.5,8142.41167
2006/1/6/22.0,8091.98
2006/1/6/22.5,8142.59667
2006/1/6/23.0,7995.39167
2006/1/6/23.5,7819.59
2006/1/7/0.0,7619.9
2006/1/7/0.5,7390.98
2006/1/7/1.0,7084.75833
2006/1/7/1.5,6742.41333
2006/1/7/2.0,6433.325
2006/1/7/2.5,6251.47333
2006/1/7/3.0,6110.9
2006/1/7/3.5,6035.61167
2006/1/7/4.0,5979.96667
2006/1/7/4.5,6094.54167
2006/1/7/5.0,6165.06833
2006/1/7/5.5,6216.08833
2006/1/7/6.0,6366.43333
2006/1/7/6.5,6640.70667
2006/1/7/7.0,7005.09
2006/1/7/7.5,7439.02333
2006/1/7/8.0,7846.22333
2006/1/7/8.5,8219.12667
2006/1/7/9.0,8341.635
2006/1/7/9.5,8530.06333
2006/1/7/10.0,8541.365
2006/1/7/10.5,8539.335
2006/1/7/11.0,8508.52833
2006/1/7/11.5,8447.73667
2006/1/7/12.0,8441.68833
2006/1/7/12.5,8412.95167
2006/1/7/13.0,8361.135
2006/1/7/13.5,8283.93
2006/1/7/14.0,8215.245
2006/1/7/14.5,8203.15
2006/1/7/15.0,8249.59
2006/1/7/15.5,8274.58333
2006/1/7/16.0,8309.725
2006/1/7/16.5,8155.98833
2006/1/7/17.0,8190.38333
2006/1/7/17.5,8149.09333
2006/1/7/18.0,8094.035
2006/1/7/18.5,8024.53333
2006/1/7/19.0,7856.85667
2006/1/7/19.5,7899.585
2006/1/7/20.0,8134.78
2006/1/7/20.5,7995.06
2006/1/7/21.0,7925.40333
2006/1/7/21.5,7820.63
2006/1/7/22.0,7730.66
2006/1/7/22.5,7744.665
2006/1/7/23.0,7489.53833
2006/1/7/23.5,7282.68833
2006/1/8/0.0,7075.85167
2006/1/8/0.5,6886.97
2006/1/8/1.0,6658.70833
2006/1/8/1.5,6384.72
2006/1/8/2.0,6129.59833
2006/1/8/2.5,6047.925
2006/1/8/3.0,5925.18167
2006/1/8/3.5,5897.14
2006/1/8/4.0,5841.69333
2006/1/8/4.5,5892.83667
2006/1/8/5.0,5884.89167
2006/1/8/5.5,6000.27667
2006/1/8/6.0,6098.82667
2006/1/8/6.5,6305.275
2006/1/8/7.0,6651.26667
2006/1/8/7.5,6960.22667
2006/1/8/8.0,7359.755
2006/1/8/8.5,7672.97833
2006/1/8/9.0,7885.53833
2006/1/8/9.5,8180.59167
2006/1/8/10.0,8207.2
2006/1/8/10.5,8314.55333
2006/1/8/11.0,8315.545
2006/1/8/11.5,8479.37833
2006/1/8/12.0,8396.08
2006/1/8/12.5,8425.475
2006/1/8/13.0,8376.13167
2006/1/8/13.5,8362.39
2006/1/8/14.0,8414.84
2006/1/8/14.5,8427.64167
2006/1/8/15.0,8471.81167
2006/1/8/15.5,8488.78167
2006/1/8/16.0,8470.81333
2006/1/8/16.5,8375.91
2006/1/8/17.0,8446.94333
2006/1/8/17.5,8441.77667
2006/1/8/18.0,8427.52
2006/1/8/18.5,8326.58833
2006/1/8/19.0,8305.4
2006/1/8/19.5,8293.49833
2006/1/8/20.0,8504.99667
2006/1/8/20.5,8269.035
2006/1/8/21.0,8039.49
2006/1/8/21.5,7934.64167
2006/1/8/22.0,7760.47667
2006/1/8/22.5,7768.79
2006/1/8/23.0,7495.17333
2006/1/8/23.5,7251.59833
2006/1/9/0.0,7091.32833
2006/1/9/0.5,6887.23833
2006/1/9/1.0,6693.86667
2006/1/9/1.5,6438.89833
2006/1/9/2.0,6262.655
2006/1/9/2.5,6127.32167
2006/1/9/3.0,6106.93667
2006/1/9/3.5,6045.60667
2006/1/9/4.0,6159
2006/1/9/4.5,6357.79167
2006/1/9/5.0,6657.63833
2006/1/9/5.5,7141.33
2006/1/9/6.0,7609.635
2006/1/9/6.5,7991.81833
2006/1/9/7.0,8429.16833
2006/1/9/7.5,8828.15833
2006/1/9/8.0,9164.19167
2006/1/9/8.5,9566.97333
2006/1/9/9.0,9741.02833
2006/1/9/9.5,9898.785
2006/1/9/10.0,9944.21
2006/1/9/10.5,9977.89
2006/1/9/11.0,10082.79667
2006/1/9/11.5,10209.87167
2006/1/9/12.0,10186.90167
2006/1/9/12.5,10274.37667
2006/1/9/13.0,10373.41333
2006/1/9/13.5,10426.63667
2006/1/9/14.0,10429.025
2006/1/9/14.5,10488.28333
2006/1/9/15.0,10555.83333
2006/1/9/15.5,10614.42167
2006/1/9/16.0,10643.02833
2006/1/9/16.5,10569.46333
2006/1/9/17.0,10489.02833
2006/1/9/17.5,10163.96167
2006/1/9/18.0,10011.16667
2006/1/9/18.5,9708.81667
2006/1/9/19.0,9455.24167
2006/1/9/19.5,9401.43167
2006/1/9/20.0,9529.16333
2006/1/9/20.5,9407.88333
2006/1/9/21.0,9103.145
2006/1/9/21.5,9141.86833
2006/1/9/22.0,8817.46
2006/1/9/22.5,8711.73333
2006/1/9/23.0,8408.38667
2006/1/9/23.5,8214.64333
2006/1/10/0.0,7968.13667
2006/1/10/0.5,7701.34667
2006/1/10/1.0,7441.50333
2006/1/10/1.5,7095.89833
2006/1/10/2.0,6778.66333
2006/1/10/2.5,6611.19167
2006/1/10/3.0,6493.04667
2006/1/10/3.5,6493.35
2006/1/10/4.0,6529.87
2006/1/10/4.5,6707.39333
2006/1/10/5.0,6928.72
2006/1/10/5.5,7392.14667
2006/1/10/6.0,7968.85333
2006/1/10/6.5,8396.61
2006/1/10/7.0,8898.98
2006/1/10/7.5,9400.79167
2006/1/10/8.0,9825.81833
2006/1/10/8.5,10211.9
2006/1/10/9.0,10465.875
2006/1/10/9.5,10656.65
2006/1/10/10.0,10841.61333
2006/1/10/10.5,10885.42
2006/1/10/11.0,11022.21167
2006/1/10/11.5,11051.68833
2006/1/10/12.0,11197.19
2006/1/10/12.5,11395.61667
2006/1/10/13.0,11561.43333
2006/1/10/13.5,11612.72167
2006/1/10/14.0,11693.57
2006/1/10/14.5,11678.18167
2006/1/10/15.0,11870.86333
2006/1/10/15.5,12073.96667
2006/1/10/16.0,12174.29
2006/1/10/16.5,12064.125
2006/1/10/17.0,12005.8
2006/1/10/17.5,11645.93333
2006/1/10/18.0,11456.52
2006/1/10/18.5,11145.26667
2006/1/10/19.0,10928.77833
2006/1/10/19.5,10762.895
2006/1/10/20.0,10885.82833
2006/1/10/20.5,10599.50667
2006/1/10/21.0,10278.97833
2006/1/10/21.5,10154.92333
2006/1/10/22.0,9734.535
2006/1/10/22.5,9527.72833
2006/1/10/23.0,9182.89833
2006/1/10/23.5,8824.56667
2006/1/11/0.0,8546.38333
2006/1/11/0.5,8228.865
2006/1/11/1.0,7918.94833
2006/1/11/1.5,7492.29333
2006/1/11/2.0,7186.94167
2006/1/11/2.5,7013.01667
2006/1/11/3.0,6869.14
2006/1/11/3.5,6871.41333
2006/1/11/4.0,6850.93167
2006/1/11/4.5,7083.42
2006/1/11/5.0,7270.34
2006/1/11/5.5,7691.31
2006/1/11/6.0,8258.09833
2006/1/11/6.5,8816.51833
2006/1/11/7.0,9451.045
2006/1/11/7.5,10055.10667
2006/1/11/8.0,10679.74
2006/1/11/8.5,11269.90167
2006/1/11/9.0,11582.97
2006/1/11/9.5,11853.22
2006/1/11/10.0,11953.41333
2006/1/11/10.5,11953.21667
2006/1/11/11.0,12093.25
2006/1/11/11.5,12138.43667
2006/1/11/12.0,12221.795
2006/1/11/12.5,12173.45
2006/1/11/13.0,11920.73
2006/1/11/13.5,11687.80167
2006/1/11/14.0,11706.93833
2006/1/11/14.5,11687.32833
2006/1/11/15.0,11715.50833
2006/1/11/15.5,11654.835
2006/1/11/16.0,11478.11333
2006/1/11/16.5,11198.715
2006/1/11/17.0,10926.51167
2006/1/11/17.5,10502.005
2006/1/11/18.0,10190.83
2006/1/11/18.5,9916.47833
2006/1/11/19.0,9696.05167
2006/1/11/19.5,9596.94833
2006/1/11/20.0,9490.96
2006/1/11/20.5,9256.48833
2006/1/11/21.0,8957.9
2006/1/11/21.5,8986.30167
2006/1/11/22.0,8693.545
2006/1/11/22.5,8552.95833
2006/1/11/23.0,8352.73833
2006/1/11/23.5,8143.235
2006/1/12/0.0,7934.73167
2006/1/12/0.5,7683.26
2006/1/12/1.0,7504.84167
2006/1/12/1.5,7098.025
2006/1/12/2.0,6797.4
2006/1/12/2.5,6629.18167
2006/1/12/3.0,6575.35667
2006/1/12/3.5,6574.69333
2006/1/12/4.0,6589.035
2006/1/12/4.5,6755.74833
2006/1/12/5.0,6979.26167
2006/1/12/5.5,7469.35167
2006/1/12/6.0,7974.32
2006/1/12/6.5,8370.75333
2006/1/12/7.0,8852.995
2006/1/12/7.5,9200.17
2006/1/12/8.0,9555.24667
2006/1/12/8.5,9867.885
2006/1/12/9.0,10059.465
2006/1/12/9.5,10175.45833
2006/1/12/10.0,10279.77833
2006/1/12/10.5,10213.09833
2006/1/12/11.0,10294.375
2006/1/12/11.5,10258.73333
2006/1/12/12.0,10399.45167
2006/1/12/12.5,10481.04667
2006/1/12/13.0,10553.39667
2006/1/12/13.5,10640.575
2006/1/12/14.0,10684.825
2006/1/12/14.5,10699.23333
2006/1/12/15.0,10739.89667
2006/1/12/15.5,10858.03167
2006/1/12/16.0,10857.22167
2006/1/12/16.5,10757.78333
2006/1/12/17.0,10658.705
2006/1/12/17.5,10405.95833
2006/1/12/18.0,10196.33833
2006/1/12/18.5,9977.29833
2006/1/12/19.0,9794.11
2006/1/12/19.5,9751.15833
2006/1/12/20.0,9826.17833
2006/1/12/20.5,9582.45167
2006/1/12/21.0,9248.37167
2006/1/12/21.5,9248.655
2006/1/12/22.0,8966.40667
2006/1/12/22.5,8895.64833
2006/1/12/23.0,8615.16167
2006/1/12/23.5,8361.71833
2006/1/13/0.0,8104.87333
2006/1/13/0.5,7881.27
2006/1/13/1.0,7559.355
2006/1/13/1.5,7240.975
2006/1/13/2.0,6826.03833
2006/1/13/2.5,6722.24333
2006/1/13/3.0,6593.00667
2006/1/13/3.5,6581.405
2006/1/13/4.0,6617.17333
2006/1/13/4.5,6853.485
2006/1/13/5.0,7103.69833
2006/1/13/5.5,7571.07
2006/1/13/6.0,8042.76167
2006/1/13/6.5,8533.40667
2006/1/13/7.0,9018.78
2006/1/13/7.5,9435.81667
2006/1/13/8.0,9753.085
2006/1/13/8.5,9995.405
2006/1/13/9.0,10158.94667
2006/1/13/9.5,10234.66833
2006/1/13/10.0,10301.34
2006/1/13/10.5,10256.765
2006/1/13/11.0,10248.72167
2006/1/13/11.5,10108.365
2006/1/13/12.0,10101.09333
2006/1/13/12.5,10160.4
2006/1/13/13.0,10142.70833
2006/1/13/13.5,10081.565
2006/1/13/14.0,10055.03167
2006/1/13/14.5,10025.45
2006/1/13/15.0,9973.00667
2006/1/13/15.5,9977.00833
2006/1/13/16.0,9917.12833
2006/1/13/16.5,9817.52
2006/1/13/17.0,9681.22833
2006/1/13/17.5,9395.62
2006/1/13/18.0,9248.5
2006/1/13/18.5,9046.13167
2006/1/13/19.0,8951.65167
2006/1/13/19.5,8939.34667
2006/1/13/20.0,8894.27833
2006/1/13/20.5,8680.17167
2006/1/13/21.0,8458.415
2006/1/13/21.5,8583.37333
2006/1/13/22.0,8159.505
2006/1/13/22.5,8346.03333
2006/1/13/23.0,8319.69833
2006/1/13/23.5,8117.83333
2006/1/14/0.0,7871.83
2006/1/14/0.5,7628.16333
2006/1/14/1.0,7315.9
2006/1/14/1.5,6970.53833
2006/1/14/2.0,6673.77833
2006/1/14/2.5,6476.905
2006/1/14/3.0,6348.48333
2006/1/14/3.5,6256.08833
2006/1/14/4.0,6292.35333
2006/1/14/4.5,6357.12833
2006/1/14/5.0,6430.63833
2006/1/14/5.5,6561.9
2006/1/14/6.0,6742.74167
2006/1/14/6.5,7042.645
2006/1/14/7.0,7403.44833
2006/1/14/7.5,7870.49333
2006/1/14/8.0,8244.20333
2006/1/14/8.5,8753.43167
2006/1/14/9.0,8925.34333
2006/1/14/9.5,9171.755
2006/1/14/10.0,9260.625
2006/1/14/10.5,9353.99333
2006/1/14/11.0,9463.53333
2006/1/14/11.5,9474.88333
2006/1/14/12.0,9692.045
2006/1/14/12.5,9841.965
2006/1/14/13.0,9945.71667
2006/1/14/13.5,10133.40333
2006/1/14/14.0,10236.615
2006/1/14/14.5,10358.89333
2006/1/14/15.0,10466.14167
2006/1/14/15.5,10567.005
2006/1/14/16.0,10652.51833
2006/1/14/16.5,10531.83167
2006/1/14/17.0,10495.68667
2006/1/14/17.5,10341.88333
2006/1/14/18.0,10080.85667
2006/1/14/18.5,9793.295
2006/1/14/19.0,9547.13333
2006/1/14/19.5,9528.29
2006/1/14/20.0,9508.77333
2006/1/14/20.5,9210.94333
2006/1/14/21.0,8924.90167
2006/1/14/21.5,8844.21833
2006/1/14/22.0,8553.355
2006/1/14/22.5,8442.52667
2006/1/14/23.0,8106.87667
2006/1/14/23.5,7823.99333
2006/1/15/0.0,7550.03667
2006/1/15/0.5,7305.35
2006/1/15/1.0,7060.81167
2006/1/15/1.5,6753.265
2006/1/15/2.0,6505.17667
2006/1/15/2.5,6305.635
2006/1/15/3.0,6250.31167
2006/1/15/3.5,6132.56833
2006/1/15/4.0,6044.62167
2006/1/15/4.5,6119.405
2006/1/15/5.0,6260.285
2006/1/15/5.5,6340.07
2006/1/15/6.0,6358.21667
2006/1/15/6.5,6586.89333
2006/1/15/7.0,6799.04
2006/1/15/7.5,7198.61333
2006/1/15/8.0,7511.25167
2006/1/15/8.5,7818.16667
2006/1/15/9.0,7994.45333
2006/1/15/9.5,8201.11333
2006/1/15/10.0,8295.34833
2006/1/15/10.5,8337.40167
2006/1/15/11.0,8337.635
2006/1/15/11.5,8393.515
2006/1/15/12.0,8401.52833
2006/1/15/12.5,8389.80167
2006/1/15/13.0,8328.87667
2006/1/15/13.5,8360.94
2006/1/15/14.0,8288.55833
2006/1/15/14.5,8323.85667
2006/1/15/15.0,8347.81833
2006/1/15/15.5,8294.12833
2006/1/15/16.0,8332.12667
2006/1/15/16.5,8288.80167
2006/1/15/17.0,8390.64333
2006/1/15/17.5,8455.9
2006/1/15/18.0,8467.785
2006/1/15/18.5,8401.68833
2006/1/15/19.0,8361.36333
2006/1/15/19.5,8412.895
2006/1/15/20.0,8478.99333
2006/1/15/20.5,8277.07333
2006/1/15/21.0,8106.92667
2006/1/15/21.5,8060.96667
2006/1/15/22.0,7884.015
2006/1/15/22.5,7820.17667
2006/1/15/23.0,7521.45667
2006/1/15/23.5,7332.04833
2006/1/16/0.0,7176.675
2006/1/16/0.5,6961.295
2006/1/16/1.0,6799.20333
2006/1/16/1.5,6529.2
2006/1/16/2.0,6353.53833
2006/1/16/2.5,6248.25833
2006/1/16/3.0,6218.35667
2006/1/16/3.5,6255.00167
2006/1/16/4.0,6339.905
2006/1/16/4.5,6535.7
2006/1/16/5.0,6819.02
2006/1/16/5.5,7392.415
2006/1/16/6.0,7875.57333
2006/1/16/6.5,8309.72
2006/1/16/7.0,8741.15333
2006/1/16/7.5,9235.06833
2006/1/16/8.0,9687.05333
2006/1/16/8.5,9978.28333
2006/1/16/9.0,10113.50667
2006/1/16/9.5,10306.45833
2006/1/16/10.0,10390.25333
2006/1/16/10.5,10493.86833
2006/1/16/11.0,10618.67833
2006/1/16/11.5,10646.81833
2006/1/16/12.0,10723.54667
2006/1/16/12.5,10843.35667
2006/1/16/13.0,10817.90167
2006/1/16/13.5,10800.795
2006/1/16/14.0,10723.62833
2006/1/16/14.5,10751.86333
2006/1/16/15.0,10767.45167
2006/1/16/15.5,10773.84667
2006/1/16/16.0,10676.66
2006/1/16/16.5,10606.92333
2006/1/16/17.0,10516.80833
2006/1/16/17.5,10270.94167
2006/1/16/18.0,10082.36167
2006/1/16/18.5,9726.76167
2006/1/16/19.0,9466.52833
2006/1/16/19.5,9497.465
2006/1/16/20.0,9498.94
2006/1/16/20.5,9237.33167
2006/1/16/21.0,8875.35333
2006/1/16/21.5,8893.44333
2006/1/16/22.0,8682.86167
2006/1/16/22.5,8573.35333
2006/1/16/23.0,8327.69833
2006/1/16/23.5,8159.04333
2006/1/17/0.0,7951.125
2006/1/17/0.5,7721.88
2006/1/17/1.0,7492.65
2006/1/17/1.5,7124.755
2006/1/17/2.0,6839.60333
2006/1/17/2.5,6637.94
2006/1/17/3.0,6580.935
2006/1/17/3.5,6515.385
2006/1/17/4.0,6521.965
2006/1/17/4.5,6706.53
2006/1/17/5.0,7094.235
2006/1/17/5.5,7612.095
2006/1/17/6.0,8173.53667
2006/1/17/6.5,8559.73667
2006/1/17/7.0,9084.14833
2006/1/17/7.5,9443.92
2006/1/17/8.0,9712.17
2006/1/17/8.5,10053.35333
2006/1/17/9.0,10177.32
2006/1/17/9.5,10353.37167
2006/1/17/10.0,10406.665
2006/1/17/10.5,10498.405
2006/1/17/11.0,10555.28667
2006/1/17/11.5,10451.095
2006/1/17/12.0,10488.935
2006/1/17/12.5,10566.39167
2006/1/17/13.0,10530.56
2006/1/17/13.5,10578.94333
2006/1/17/14.0,10496.31833
2006/1/17/14.5,10541.93333
2006/1/17/15.0,10570.75167
2006/1/17/15.5,10589.745
2006/1/17/16.0,10545.14
2006/1/17/16.5,10471.125
2006/1/17/17.0,10421.52
2006/1/17/17.5,10116.51333
2006/1/17/18.0,9942.445
2006/1/17/18.5,9636.62667
2006/1/17/19.0,9414.69167
2006/1/17/19.5,9398.21167
2006/1/17/20.0,9473.75667
2006/1/17/20.5,9251.705
2006/1/17/21.0,8932.555
2006/1/17/21.5,8904.89167
2006/1/17/22.0,8621.44167
2006/1/17/22.5,8580.335
2006/1/17/23.0,8319.25167
2006/1/17/23.5,8098.73333
2006/1/18/0.0,7885.51833
2006/1/18/0.5,7616.37167
2006/1/18/1.0,7406.72833
2006/1/18/1.5,7036.89167
2006/1/18/2.0,6737.705
2006/1/18/2.5,6552.82833
2006/1/18/3.0,6461.2
2006/1/18/3.5,6450.04
2006/1/18/4.0,6483.645
2006/1/18/4.5,6665.745
2006/1/18/5.0,6930.32
2006/1/18/5.5,7407.29
2006/1/18/6.0,7891.26
2006/1/18/6.5,8327.82
2006/1/18/7.0,8785.485
2006/1/18/7.5,9186.57333
2006/1/18/8.0,9488.715
2006/1/18/8.5,9766.285
2006/1/18/9.0,9833.75333
2006/1/18/9.5,9896.59167
2006/1/18/10.0,9883.105
2006/1/18/10.5,9960.40167
2006/1/18/11.0,9977.47167
2006/1/18/11.5,9906.25333
2006/1/18/12.0,9863.68167
